ts,epoch,role,container,cpu_pct,mem_bytes,mem_limit_bytes,net_rx_bytes,net_tx_bytes,blk_read_bytes,blk_write_bytes
2026-08-20T05:29:21Z,1787203761,client,bench-warp,77.63,66097152,1073741824,1898701670,2765833330,,
2026-08-20T05:29:21Z,1787203761,server,bench-minio,578.76,871079936,2147483648,2769122659,1909043780,782020608,2765590528
2026-08-20T05:29:21Z,1787203761,client,bench-warp,50.21,66035712,1073741824,1950816340,2781229882,,
2026-08-20T05:29:21Z,1787203761,server,bench-minio,619.56,871706624,2147483648,2785301311,1958838871,802983936,2783551488
2026-08-20T05:29:23Z,1787203763,client,bench-warp,66.51,64368640,1073741824,2094447330,2822956788,,
2026-08-20T05:29:23Z,1787203763,server,bench-minio,553.83,872816640,2147483648,2824088515,2100037811,862633984,2822651904
2026-08-20T05:29:23Z,1787203763,client,bench-warp,50.14,63791104,1073741824,2149076361,2848644149,,
2026-08-20T05:29:23Z,1787203763,server,bench-minio,587.78,872562688,2147483648,2849682470,2155087875,882147328,2853298176
2026-08-20T05:29:24Z,1787203764,client,bench-warp,50.53,62697472,1073741824,2252786827,2878644739,,
2026-08-20T05:29:24Z,1787203764,server,bench-minio,599.31,872849408,2147483648,2882591178,2264099015,915058688,2884993024
2026-08-20T05:29:26Z,1787203766,client,bench-warp,47.01,62087168,1073741824,2464207753,2949509636,,
2026-08-20T05:29:26Z,1787203766,server,bench-minio,478.19,865562624,2147483648,2950029796,2466298799,991559680,2953695232
2026-08-20T05:29:26Z,1787203766,client,bench-warp,36.51,60764160,1073741824,2559819637,2973008330,,
2026-08-20T05:29:26Z,1787203766,server,bench-minio,527.11,880398336,2147483648,2974401683,2560984774,1025544192,2974818304
2026-08-20T05:29:27Z,1787203767,client,bench-warp,54.14,66940928,1073741824,2685138218,3026869868,,
2026-08-20T05:29:27Z,1787203767,server,bench-minio,523.77,884449280,2147483648,3028263189,2691908769,1078853632,3029778432
2026-08-20T05:29:28Z,1787203768,client,bench-warp,72.73,62808064,1073741824,2919832637,3103706733,,
2026-08-20T05:29:28Z,1787203768,server,bench-minio,551.49,833527808,2147483648,3105296653,2927595161,1174990848,3110092800
2026-08-20T05:29:29Z,1787203769,client,bench-warp,86.86,65277952,1073741824,3208266368,3196852395,,
2026-08-20T05:29:29Z,1787203769,server,bench-minio,572.33,849448960,2147483648,3200628398,3218061357,1282813952,3203092480
2026-08-20T05:29:30Z,1787203770,client,bench-warp,108.06,59625472,1073741824,3630820831,3341646118,,
2026-08-20T05:29:30Z,1787203770,server,bench-minio,562.60,856690688,2147483648,3345193201,3637013074,1452732416,3343642624
2026-08-20T05:29:31Z,1787203771,client,bench-warp,83.71,63688704,1073741824,3847137002,3414144697,,
2026-08-20T05:29:32Z,1787203772,server,bench-minio,565.60,891211776,2147483648,3416560463,3856197109,1553833984,3419717632
2026-08-20T05:29:32Z,1787203772,client,bench-warp,77.78,61476864,1073741824,4001560172,3463475164,,
2026-08-20T05:29:33Z,1787203773,server,bench-minio,596.17,896557056,2147483648,3464723822,4007740047,1602580480,3467251712
2026-08-20T05:29:33Z,1787203773,client,bench-warp,102.04,76169216,1073741824,4196543691,3531821066,,
2026-08-20T05:29:34Z,1787203774,server,bench-minio,545.37,909643776,2147483648,3533467832,4203048492,1683677184,3528577024
2026-08-20T05:29:34Z,1787203774,client,bench-warp,67.80,70500352,1073741824,4287874780,3565960120,,
2026-08-20T05:29:34Z,1787203774,server,bench-minio,516.90,922877952,2147483648,3567326001,4293789593,1721356288,3568730112
2026-08-20T05:29:35Z,1787203775,client,bench-warp,61.71,66265088,1073741824,4468374842,3618865799,,
2026-08-20T05:29:35Z,1787203775,server,bench-minio,584.24,945389568,2147483648,3621404832,4472718180,1799401472,3628011520
2026-08-20T05:29:36Z,1787203776,client,bench-warp,49.57,70205440,1073741824,4585767008,3662356795,,
2026-08-20T05:29:36Z,1787203776,server,bench-minio,418.06,961298432,2147483648,3662803900,4586306280,1851670528,3684319232
2026-08-20T05:29:37Z,1787203777,client,bench-warp,67.06,70258688,1073741824,4778526893,3727689351,,
2026-08-20T05:29:37Z,1787203777,server,bench-minio,510.03,975839232,2147483648,3729788271,4784577649,1933963264,3748777984
2026-08-20T05:29:38Z,1787203778,client,bench-warp,78.01,64106496,1073741824,4993363828,3799128665,,
2026-08-20T05:29:38Z,1787203778,server,bench-minio,592.38,994652160,2147483648,3802780158,5002561143,2022371328,3816415232
2026-08-20T05:29:39Z,1787203779,client,bench-warp,75.28,64151552,1073741824,5163379777,3853197453,,
2026-08-20T05:29:39Z,1787203779,server,bench-minio,592.62,1003503616,2147483648,3854843914,5174787863,2098442240,3873488896
2026-08-20T05:29:41Z,1787203781,client,bench-warp,53.96,60899328,1073741824,5347989684,3914087610,,
2026-08-20T05:29:41Z,1787203781,server,bench-minio,604.25,991936512,2147483648,3916017517,5363830123,2159820800,3937898496
2026-08-20T05:29:41Z,1787203781,client,bench-warp,44.43,62930944,1073741824,5432488575,3943972506,,
2026-08-20T05:29:41Z,1787203781,server,bench-minio,450.99,995901440,2147483648,3952073719,5441177132,2201128960,3965419520
2026-08-20T05:29:43Z,1787203783,client,bench-warp,44.72,65744896,1073741824,5599953080,3998496872,,
2026-08-20T05:29:43Z,1787203783,server,bench-minio,587.84,1002622976,2147483648,4001431239,5607906677,2268893184,4019302400
2026-08-20T05:29:44Z,1787203784,client,bench-warp,63.40,68075520,1073741824,5662688859,4019064497,,
2026-08-20T05:29:44Z,1787203784,server,bench-minio,542.14,1006473216,2147483648,4030215566,5675504155,2300702720,4043620352
2026-08-20T05:29:45Z,1787203785,client,bench-warp,69.16,70307840,1073741824,5795397290,4065299021,,
2026-08-20T05:29:45Z,1787203785,server,bench-minio,568.62,1014222848,2147483648,4068015136,5798293142,2351124480,4083785728
2026-08-20T05:29:45Z,1787203785,client,bench-warp,44.96,67293184,1073741824,5873489118,4084886800,,
2026-08-20T05:29:46Z,1787203786,server,bench-minio,605.12,1015828480,2147483648,4090540631,5879373943,2383368192,4100677632
2026-08-20T05:29:47Z,1787203787,client,bench-warp,12.39,68419584,1073741824,5913519726,4104377267,,
2026-08-20T05:29:48Z,1787203788,server,bench-minio,567.33,1021902848,2147483648,4111872275,5920433457,2395582464,4127096832
2026-08-20T05:29:49Z,1787203789,client,bench-warp,18.23,66342912,1073741824,5934045780,4115287435,,
2026-08-20T05:29:49Z,1787203789,server,bench-minio,541.50,1022025728,2147483648,4117172365,5936699396,2404089856,4137672704
2026-08-20T05:29:50Z,1787203790,client,bench-warp,55.99,66678784,1073741824,5944173429,4120566303,,
2026-08-20T05:29:50Z,1787203790,server,bench-minio,584.40,1022873600,2147483648,4120571003,5946135594,2410631168,4139790336
2026-08-20T05:29:51Z,1787203791,client,bench-warp,43.80,64225280,1073741824,5987864634,4132839968,,
2026-08-20T05:29:51Z,1787203791,server,bench-minio,599.40,1023623168,2147483648,4133249404,5988716747,2429562880,4150349824
2026-08-20T05:29:52Z,1787203792,client,bench-warp,7.03,62697472,1073741824,6013042091,4143454037,,
2026-08-20T05:29:52Z,1787203792,server,bench-minio,603.30,1024647168,2147483648,4143738342,6013518146,2434957312,4164091904
2026-08-20T05:29:53Z,1787203793,client,bench-warp,7.38,62988288,1073741824,6048399181,4152997156,,
2026-08-20T05:29:53Z,1787203793,server,bench-minio,594.93,1026072576,2147483648,4153071032,6051702510,2459197440,4172550144
2026-08-20T05:29:54Z,1787203794,client,bench-warp,21.72,61612032,1073741824,6112843263,4172477329,,
2026-08-20T05:29:54Z,1787203794,server,bench-minio,599.95,1030492160,2147483648,4173614725,6122219481,2485661696,4194742272
2026-08-20T05:29:55Z,1787203795,client,bench-warp,26.95,63184896,1073741824,6209757788,4207144485,,
2026-08-20T05:29:55Z,1787203795,server,bench-minio,581.10,1039052800,2147483648,4210282275,6213676079,2518863872,4225388544
2026-08-20T05:29:57Z,1787203797,client,bench-warp,10.25,61120512,1073741824,6229112203,4214360727,,
2026-08-20T05:29:57Z,1787203797,server,bench-minio,570.00,1038073856,2147483648,4215202791,6232587323,2524573696,4237000704
2026-08-20T05:29:57Z,1787203797,client,bench-warp,21.93,62152704,1073741824,6241403035,4217305931,,
2026-08-20T05:29:58Z,1787203798,server,bench-minio,589.63,1036931072,2147483648,4218610315,6246111145,2532802560,4238069760
2026-08-20T05:29:58Z,1787203798,client,bench-warp,45.49,62124032,1073741824,6261994094,4225375755,,
2026-08-20T05:29:58Z,1787203798,server,bench-minio,591.78,1038036992,2147483648,4225577178,6264282974,2536914944,4242296832
2026-08-20T05:29:59Z,1787203799,client,bench-warp,17.38,61878272,1073741824,6294785259,4232061126,,
2026-08-20T05:29:59Z,1787203799,server,bench-minio,581.46,1040015360,2147483648,4232349049,6297643793,2554261504,4251807744
2026-08-20T05:30:00Z,1787203800,client,bench-warp,37.86,63520768,1073741824,6341730110,4242661000,,
2026-08-20T05:30:00Z,1787203800,server,bench-minio,583.92,1042280448,2147483648,4242975670,6342238803,2569105408,4260257792
2026-08-20T05:30:01Z,1787203801,client,bench-warp,47.67,63123456,1073741824,6382531462,4262531505,,
